Global frequency set at 1000000000 ticks per second
gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 20.1.0.4
gem5 compiled Mar 16 2021 15:26:20
gem5 started Mar 16 2021 22:53:57
gem5 executing on ppetrica-laptop, pid 4224
command line: ./build/X86_MSI/gem5.opt --debug-flags=ProtocolTrace configs/learning_gem5/part3/ruby_test.py

             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             98   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory             MemData    M_m>M      [0x1bc0, line 0x1bc0] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
             99   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            100   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            101   0        Seq               Begin       >       [0x7e8, line 0x7c0] ST
            102   0    L1Cache               Store      I>IM_AD  [0x7c0, line 0x7c0] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            102   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            103   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            103   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
            103   0  Directory                GetM    M_m>M_m    [0x400, line 0x400] 
